transaction_id,customer_id,transaction_date,transaction_type,amount,balance_after,merchant_category,location,description,channel,currency,status
TXN_00000016,CUST_004853,2024-09-14 22:55:04,Withdrawal,-464.39,29219.20093,Shopping,West Elizabethshire,Large drop mean company.,ATM,USD,Failed
TXN_00000017,CUST_004282,2024-09-01 16:00:58,ATM Withdrawal,-200,6152.17466,ATM,Port Christopher,Surface it ask. My past almost collection.,Mobile App,USD,Completed
TXN_00000018,CUST_002287,2024-04-06 03:37:15,Payment,-532.59,24189.82352,Other,West Kevin,Respond loss author lose imagine.,Branch,USD,Completed
TXN_00000019,CUST_002625,2025-01-10 23:26:14,Deposit,798.14,10174.92365,Transfer,Port Krystalland,Sport well develop ahead thought.,Branch,USD,Completed
TXN_00000020,CUST_001507,2024-06-14 22:13:42,Transfer,-199.41,47369.54063,Grocery,Colemanborough,House major figure nature building rule or.,ATM,USD,Completed
TXN_00000021,CUST_001441,2024-06-15 16:51:53,Purchase,-107.71,41234.40816,Other,Ricardofurt,Economic upon in fish minute whether party they.,Branch,USD,Completed
TXN_00000022,CUST_004585,2024-12-26 23:34:28,Deposit,768.43,4799.649819,Healthcare,Rossfort,Whatever history region none debate.,Branch,USD,Completed
TXN_00000023,CUST_002017,2024-11-08 21:32:19,Deposit,366.25,38113.15862,Restaurant,West Kristina,Great involve approach body movie.,Mobile App,USD,Failed
TXN_00000024,CUST_001982,2024-02-03 13:29:02,Purchase,-29.33,33192.52662,Other,South Jenniferburgh,Safe note anyone despite summer degree exist.,Mobile App,USD,Completed
TXN_00000025,CUST_002199,2024-07-03 11:37:16,Transfer,-65.46,34920.81759,Grocery,Alexandermouth,Available figure short brother every on.,Online,USD,Pending
TXN_00000026,CUST_003425,2025-06-21 19:43:11,Withdrawal,-354.62,23497.1972,Grocery,South Sarahmouth,Mention student north daughter push.,Branch,USD,Completed
TXN_00000027,CUST_001193,2025-02-17 13:19:02,Payment,-183.66,20801.17848,Entertainment,New Mikebury,There best career pass baby.,Mobile App,USD,Completed
TXN_00000028,CUST_004165,2025-05-22 13:00:02,Withdrawal,-375.06,44844.95061,Other,Markside,Choose thus however between business.,Branch,USD,Completed
TXN_00000029,CUST_003051,2024-11-15 23:09:50,Transfer,-391.21,34444.19464,Healthcare,North Lisa,Politics daughter at whatever its.,Branch,USD,Pending
TXN_00000030,CUST_001347,2025-03-12 21:12:11,Deposit,617.95,14123.74402,Shopping,New Jamesfort,Attack ability question.,Branch,USD,Completed
TXN_00000031,CUST_000592,2023-09-16 01:34:18,Transfer,-104.87,33023.97112,Grocery,Justinmouth,Catch edge move event foot.,Mobile App,USD,Completed
TXN_00000032,CUST_001273,2025-01-25 09:56:48,Withdrawal,-320.92,1342.705787,Entertainment,Lake Mary,Loss boy form agreement house degree.,Mobile App,USD,Completed
TXN_00000033,CUST_003620,2024-01-26 05:29:14,Purchase,-70.68,619.8615874,Restaurant,Port Thomas,Southern agree clearly process.,Mobile App,USD,Pending
TXN_00000034,CUST_001178,2024-07-02 15:22:42,Purchase,-167,29842.18702,Grocery,Ryanmouth,Answer indeed always like enjoy.,Online,USD,Completed
TXN_00000035,CUST_002449,2024-04-19 17:39:15,Deposit,1037.45,26725.51924,Gas,Lake Bethstad,Debate idea size mouth reach understand.,ATM,USD,Completed
TXN_00000036,CUST_004879,2024-09-09 10:38:32,Purchase,-403.86,18789.97617,Shopping,Rogersview,Have no born picture put about onto.,Branch,USD,Completed
TXN_00000037,CUST_002816,2025-01-11 13:36:29,Purchase,-346.48,38409.36108,Restaurant,New Alice,Sell camera series admit. Idea expect either.,Online,USD,Completed
TXN_00000038,CUST_000957,2025-05-25 00:50:25,Transfer,-60.88,39415.65977,Shopping,Burkemouth,Cultural action record part.,Online,USD,Failed
TXN_00000039,CUST_002711,2025-01-15 05:59:02,Transfer,-307.9,20131.06973,Shopping,Melissafurt,Tree realize message record over.,Online,USD,Pending
TXN_00000040,CUST_003276,2024-07-04 11:07:44,Transfer,-732.54,40087.84514,Shopping,North Carolyn,Turn Democrat add account machine we.,Mobile App,USD,Completed
TXN_00000041,CUST_000316,2025-08-04 19:08:12,Transfer,-429.23,16995.22083,ATM,North Sabrinaport,Shoulder beautiful open artist interview under.,Online,USD,Completed
TXN_00000042,CUST_001928,2025-08-11 15:25:10,Withdrawal,-501.99,8066.708633,Transfer,South Vanessaberg,Hope a wide guess bank environment standard.,ATM,USD,Completed
TXN_00000043,CUST_003888,2023-11-16 04:42:44,Transfer,-991.69,11116.21934,Grocery,Port Jason,Rock city two up sit age behind.,Mobile App,USD,Completed
TXN_00000044,CUST_004922,2025-04-01 21:11:50,Transfer,-575.43,16282.58682,Entertainment,Mcclainborough,Little particular ability actually.,Branch,USD,Completed
TXN_00000045,CUST_003428,2024-08-30 11:20:49,Withdrawal,-363.63,44768.94364,Transfer,Port Codymouth,Election full onto key vote start education.,Mobile App,USD,Completed
TXN_00000046,CUST_000637,2024-08-08 06:25:29,Transfer,-807.31,48478.40621,Entertainment,Ayershaven,Reach spring his degree look seat always.,Branch,USD,Completed
TXN_00000047,CUST_002674,2024-11-25 15:39:24,Withdrawal,-6.83,31231.21345,Transfer,East Cindyborough,Difference fund environmental always.,Mobile App,USD,Completed
TXN_00000048,CUST_000833,2024-12-09 02:19:42,Deposit,181.33,46379.81146,Restaurant,Buckmouth,System return low system system.,ATM,USD,Completed
TXN_00000049,CUST_000237,2024-01-27 05:34:31,Transfer,-238.84,29144.5782,Gas,Robertview,Woman reason year put police east change.,Mobile App,USD,Completed
TXN_00000050,CUST_003121,2024-09-22 17:04:28,Transfer,-122.66,44434.83232,Other,Lindamouth,Fly this effect just opportunity stand leave.,Mobile App,USD,Completed
TXN_00000051,CUST_004847,2025-05-19 03:06:07,Transfer,-150.43,15521.92482,ATM,North Erin,Simply to because concern near.,Online,USD,Completed
TXN_00000052,CUST_003698,2024-10-22 02:36:22,Withdrawal,-4.14,49215.81153,Restaurant,Matthewbury,Carry image generation lot grow fast sing.,Online,USD,Pending
TXN_00000053,CUST_003379,2023-12-06 21:29:28,Purchase,-231.16,24089.96905,Gas,Lake Stephanieberg,Central attention firm eat attack become here.,Mobile App,USD,Completed
TXN_00000054,CUST_000353,2024-09-27 15:55:18,Deposit,144.29,32197.63119,Gas,East Garyhaven,Spring Democrat hot man.,ATM,USD,Completed
TXN_00000055,CUST_001486,2025-01-21 02:36:19,Purchase,-0.09,43459.11237,Shopping,Tinaside,Oil though instead strategy then specific office.,Mobile App,USD,Completed
TXN_00000056,CUST_003612,2024-11-07 16:10:11,Withdrawal,-149.41,35175.93107,Shopping,Guzmanmouth,Often sister bag every small game.,Online,USD,Completed
TXN_00000057,CUST_000755,2024-10-01 02:50:05,Transfer,-232.22,6084.892352,Other,Port Jonathanshire,Least grow staff. Trial agreement spend thank.,Online,USD,Failed
TXN_00000058,CUST_001562,2024-11-04 00:59:12,Purchase,-104.64,49358.67458,Restaurant,New Amanda,Small rise experience challenge low play.,Branch,USD,Completed
TXN_00000059,CUST_001486,2024-01-27 15:43:01,Withdrawal,-314.87,28776.56824,Gas,Susanstad,Green series least win need shoulder.,Mobile App,USD,Pending
TXN_00000060,CUST_003762,2024-01-02 14:35:30,ATM Withdrawal,-300,19868.88368,Gas,Gonzalezfort,Easy answer section score color care.,ATM,USD,Completed
TXN_00000061,CUST_003676,2023-11-29 16:57:38,Purchase,-33.04,16434.33305,Shopping,Kayleeville,Budget teacher drop.,Online,USD,Completed
TXN_00000062,CUST_003230,2025-07-03 13:17:20,ATM Withdrawal,-100,37305.10102,Healthcare,East Cynthiafurt,No black form foreign so language cause.,Mobile App,USD,Pending
TXN_00000063,CUST_002278,2025-03-29 16:00:06,Purchase,-56.05,39453.96407,Gas,South Thomasmouth,Culture safe store cut last quickly week.,Branch,USD,Completed
TXN_00000064,CUST_004063,2025-05-13 03:24:34,Transfer,-226.8,30983.722,Grocery,Devonview,Dark anything game.,Mobile App,USD,Completed
TXN_00000065,CUST_004542,2025-03-12 15:05:51,Purchase,-182.24,16525.72974,Gas,Erikabury,Important month live pattern rate measure.,ATM,USD,Completed
TXN_00000066,CUST_003564,2025-03-11 04:19:03,Payment,-51.11,46767.80435,Gas,South Wandamouth,Ever forward music right maintain yourself.,Online,USD,Completed
TXN_00000067,CUST_004804,2023-09-29 13:16:45,Withdrawal,-83.86,1850.556467,Entertainment,West Jessica,Image return part without.,ATM,USD,Completed
TXN_00000068,CUST_001434,2024-11-24 21:36:01,Transfer,-935.3,28765.28078,Restaurant,New Aarontown,New check there realize.,Branch,USD,Completed
TXN_00000069,CUST_000712,2024-05-14 00:15:01,ATM Withdrawal,-80,27900.87135,Entertainment,Starkberg,Site check eye rather concern financial.,Online,USD,Completed
TXN_00000070,CUST_003385,2025-05-11 09:19:08,Deposit,517.21,28390.87332,Restaurant,East Christopherview,Friend collection speech.,Online,USD,Completed
TXN_00000071,CUST_004915,2024-06-16 19:44:30,Withdrawal,-202.71,888.9990769,Gas,Alanbury,Site task challenge strategy section our only.,Mobile App,USD,Completed
TXN_00000072,CUST_001434,2024-07-30 18:25:08,Purchase,-281.6,23414.89646,Transfer,Mendezfort,Room expect head water act piece.,Online,USD,Completed
TXN_00000073,CUST_000056,2024-01-17 08:28:50,Purchase,-111.34,9001.563798,Restaurant,South Frederickland,Cell field student whether meet born write.,ATM,USD,Completed
TXN_00000074,CUST_002864,2024-02-04 10:33:27,Purchase,-44.27,23432.73994,Gas,East David,Range very look. Increase camera turn push.,Branch,USD,Completed
TXN_00000075,CUST_001598,2025-05-13 02:28:42,Transfer,-287.22,34908.09309,Grocery,Port Steven,Employee explain side never.,Mobile App,USD,Completed
TXN_00000076,CUST_001723,2024-01-14 04:33:26,ATM Withdrawal,-200,23280.88446,Other,New Adam,Audience especially approach simply.,Online,USD,Completed
TXN_00000077,CUST_001664,2024-02-01 18:58:51,Withdrawal,-99.26,35755.60769,ATM,New Michelle,Career enough six admit Democrat better.,ATM,USD,Completed
TXN_00000078,CUST_001337,2024-09-14 20:46:10,Withdrawal,-299.35,30573.74626,Other,West Amber,Soldier edge name particular.,Online,USD,Pending
TXN_00000079,CUST_003888,2025-05-12 12:57:55,ATM Withdrawal,-60,26357.67305,Transfer,North Brittany,Commercial appear upon investment give.,Online,USD,Completed
TXN_00000080,CUST_000587,2024-04-22 05:51:32,Payment,-64.57,25893.69445,Healthcare,Williamston,Challenge nice dream black agreement.,Online,USD,Completed
TXN_00000081,CUST_000765,2024-06-01 03:27:41,Purchase,-140.06,36436.34653,Other,East Tina,Game enough really nothing career.,Online,USD,Completed
TXN_00000082,CUST_003780,2024-10-26 21:10:47,Purchase,-263.82,26004.18801,Shopping,Browntown,Serve against watch.,Online,USD,Completed
TXN_00000083,CUST_000815,2024-07-24 22:40:36,Payment,-21.2,8318.928582,Restaurant,New Linda,Top because remain bank believe time.,Online,USD,Pending
TXN_00000084,CUST_001526,2023-12-15 21:21:07,Transfer,-56.32,38943.57765,Grocery,Chenville,Defense miss generation miss picture write.,Mobile App,USD,Completed
TXN_00000085,CUST_003686,2025-02-08 06:43:00,Transfer,-1611.11,48323.44253,Transfer,Lake James,Write hand stuff future arrive tax usually hand.,Branch,USD,Completed
TXN_00000086,CUST_002003,2025-02-08 19:30:51,Withdrawal,-459.91,28236.21687,Transfer,North Timothymouth,Total father power series.,Online,USD,Pending
TXN_00000087,CUST_002758,2024-08-24 12:38:01,Deposit,460.08,48352.31401,Other,Lake Christopherchester,Hold plan leave hard find identify.,ATM,USD,Completed
TXN_00000088,CUST_000140,2024-10-08 08:10:11,Transfer,-10.3,14799.90724,Grocery,North Ashley,Career leader amount thank.,Mobile App,USD,Completed
TXN_00000089,CUST_004672,2024-01-04 22:39:35,Transfer,-294.08,37371.3652,Gas,East Christinaport,Possible one technology reduce big beautiful.,Mobile App,USD,Completed
TXN_00000090,CUST_004727,2024-10-19 12:02:23,Withdrawal,-156.95,10577.47544,Grocery,Phillipport,Experience all sound although notice assume up.,Branch,USD,Failed
TXN_00000091,CUST_001297,2025-03-01 06:31:20,Purchase,-6.9,36552.54219,Shopping,Lake Jessica,Purpose thus benefit.,Online,USD,Completed
TXN_00000092,CUST_002435,2025-01-08 07:17:40,Withdrawal,-195.77,33953.66313,Transfer,East Brooke,Thus charge first magazine.,Online,USD,Completed
TXN_00000093,CUST_000496,2024-04-24 12:06:32,Transfer,-266.84,31343.43833,Shopping,Lake Deborah,Current blood happy upon argue about relate.,Mobile App,USD,Completed
TXN_00000094,CUST_004058,2025-01-03 05:52:33,Transfer,-337.92,8358.621134,Grocery,Parkermouth,But they debate wear page home.,Mobile App,USD,Completed
TXN_00000095,CUST_000014,2025-06-04 08:35:04,Withdrawal,-400.83,6576.548185,Gas,North Allisonberg,Director now machine.,Branch,USD,Pending
TXN_00000096,CUST_001832,2024-06-02 17:18:45,Deposit,542.9,49796.62881,Entertainment,Lake William,Forward machine consider.,Mobile App,USD,Completed
TXN_00000097,CUST_000884,2024-11-05 09:02:17,Transfer,-671.99,102.8388712,Restaurant,New Haileybury,Truth sign Democrat trial likely.,Online,USD,Completed
TXN_00000098,CUST_003059,2024-04-27 14:23:02,Withdrawal,-298.05,10446.62831,ATM,Andersonfort,Message image tonight something though consumer.,Online,USD,Completed
TXN_00000099,CUST_003906,2024-01-04 23:39:56,Deposit,705.51,17716.02675,Healthcare,Robertberg,Page but kind design bank why city.,Online,USD,Pending
TXN_00000100,CUST_003258,2024-10-22 20:04:47,Purchase,-163.17,21398.53515,Other,Josefurt,Magazine few drop together between fill.,Mobile App,USD,Completed
TXN_00000101,CUST_001582,2025-04-27 03:26:38,Withdrawal,-2910.34,38640.56646,Shopping,Port Ericachester,Time treatment carry truth heavy stay positive.,Mobile App,USD,Pending
TXN_00000102,CUST_002547,2025-02-25 20:39:39,Transfer,-14.26,20803.37924,Shopping,New Richard,Within rise situation wonder happy.,Online,USD,Completed
TXN_00000103,CUST_003194,2023-09-16 18:38:16,Withdrawal,-109.28,175.72146,Restaurant,Walkerchester,Chair fact whom star table weight.,Mobile App,USD,Completed
TXN_00000104,CUST_004884,2023-08-21 11:41:14,Payment,-571.24,32218.42317,Other,Port Robertstad,Measure agreement law reach.,ATM,USD,Completed
TXN_00000105,CUST_003176,2025-05-23 02:23:54,Payment,-135.66,26296.35253,Transfer,Johnstonstad,Your no year data.,ATM,USD,Completed
TXN_00000106,CUST_003901,2023-11-10 01:18:36,Transfer,-1899.74,39530.1807,Transfer,Erinfort,May fly himself adult especially pressure.,Mobile App,USD,Completed
TXN_00000107,CUST_002444,2024-02-16 10:05:00,Purchase,-102.89,47637.03862,Restaurant,Hunterstad,Ago speak use break student environment effect.,Mobile App,USD,Completed
TXN_00000108,CUST_000490,2024-11-04 12:31:10,Purchase,-197.72,9812.848843,Entertainment,Derekborough,Process per exactly where.,ATM,USD,Completed
TXN_00000109,CUST_003356,2024-11-04 11:41:21,Payment,-539.46,47080.89564,Gas,West Traci,Call ever sing clearly water surface color.,ATM,USD,Completed
TXN_00000110,CUST_000525,2023-11-13 02:10:36,Transfer,-53.65,26302.53961,Shopping,East Nicole,Garden new visit practice. Kid wait cut.,ATM,USD,Pending
TXN_00000111,CUST_004889,2024-04-06 17:16:00,Withdrawal,-188.13,30497.92853,Entertainment,Lake Jennifermouth,So daughter trouble.,Mobile App,USD,Completed
TXN_00000112,CUST_001386,2024-08-04 14:34:32,Purchase,-78.66,9120.409601,Shopping,West Alicia,Employee offer box cause sport usually during.,Mobile App,USD,Completed
TXN_00000113,CUST_000694,2024-07-02 01:57:04,Purchase,-60.35,32698.22172,Grocery,Johnsonborough,Late free sea.,Online,USD,Completed
TXN_00000114,CUST_000226,2023-10-21 16:37:42,Transfer,-129.92,14382.68176,Restaurant,South Jonathan,Example where perhaps respond up program.,Online,USD,Completed
TXN_00000115,CUST_003710,2025-04-21 20:17:15,Transfer,-343.86,14702.87834,ATM,Port Christinebury,Over next someone walk friend dark someone role.,Online,USD,Completed
TXN_00000116,CUST_003626,2024-04-17 12:05:10,Transfer,-303.36,736.9098719,Other,East Christopher,Firm bad animal early soon much.,ATM,USD,Failed
TXN_00000117,CUST_000539,2025-06-20 03:25:04,Transfer,-1530.5,21808.45229,Restaurant,West Patrick,Base bank might. Past any grow walk score.,Online,USD,Completed
TXN_00000118,CUST_002872,2023-10-04 11:51:26,Transfer,-562.17,37842.36003,Grocery,Kristenland,Bar just seek enough song including near.,ATM,USD,Completed
TXN_00000119,CUST_004969,2025-03-11 00:21:19,Deposit,681.03,3488.251187,Other,New Gregorymouth,Those south project.,ATM,USD,Completed
TXN_00000120,CUST_004001,2024-10-18 22:44:36,Transfer,-96.74,45498.10857,Transfer,South Hunterfort,Do why I there certain movie.,ATM,USD,Completed
TXN_00000121,CUST_001923,2024-10-20 03:39:11,Payment,-55.7,8262.073529,Grocery,South Robert,Per week camera.,ATM,USD,Completed
TXN_00000122,CUST_004447,2024-07-21 19:25:02,Deposit,1215.64,47119.2675,Gas,New Jennifershire,Mrs shake Democrat participant soldier sing.,ATM,USD,Completed
TXN_00000123,CUST_002620,2024-07-10 16:38:50,Withdrawal,-239.62,31234.61658,Entertainment,West Christine,Think executive industry true.,Branch,USD,Completed
TXN_00000124,CUST_001487,2025-07-15 23:38:58,Payment,-118.11,35166.06363,Transfer,Robertfort,Hundred federal fast for line beyond.,Online,USD,Completed
TXN_00000125,CUST_004389,2023-11-08 07:14:57,Withdrawal,-10.96,48962.30829,Gas,Dicksonmouth,Include leg deep enter model at least.,ATM,USD,Completed
TXN_00000126,CUST_000413,2023-12-29 16:14:11,Purchase,-139.95,6290.024182,Healthcare,Port Anthony,Visit next after message.,Online,USD,Completed
TXN_00000127,CUST_004335,2024-08-05 05:40:16,Deposit,35.82,9756.242315,Restaurant,West Rebecca,Cover popular investment inside cold.,ATM,USD,Completed
TXN_00000128,CUST_003905,2025-05-27 08:11:05,Deposit,975.24,19392.54352,Transfer,Port Kevin,Federal care box result stuff.,ATM,USD,Pending
TXN_00000129,CUST_001927,2023-11-14 10:29:36,Transfer,-235.46,44286.74676,Grocery,East Ritaland,Hit ahead while foreign.,Online,USD,Completed
TXN_00000130,CUST_001067,2025-03-11 10:18:54,Payment,-466.34,31950.81723,Other,Stevenmouth,Require different nearly thing.,ATM,USD,Pending
TXN_00000131,CUST_004499,2024-02-08 17:53:38,Withdrawal,-23.13,34542.67303,Transfer,South Juan,Strong significant according person.,Mobile App,USD,Failed
TXN_00000132,CUST_002681,2023-10-06 21:34:07,Purchase,-46.44,46455.30714,Shopping,Ramosfort,Artist growth generation system dark sea.,Online,USD,Completed
TXN_00000133,CUST_003767,2023-12-14 10:22:52,Withdrawal,-312.23,606.0519224,Restaurant,Harrisside,Include bill how else fast great.,Branch,USD,Completed
TXN_00000134,CUST_003561,2025-08-01 08:54:32,Transfer,-465.87,31562.91066,Entertainment,Charlesland,Side executive true before.,Mobile App,USD,Completed
TXN_00000135,CUST_001559,2024-10-20 04:22:27,Deposit,848.68,29593.21607,Shopping,Gillburgh,Easy financial hundred than message.,Online,USD,Completed
TXN_00000136,CUST_000484,2025-03-04 03:52:39,Transfer,-210.56,48887.58287,ATM,Michelleburgh,Activity cultural war.,ATM,USD,Completed
TXN_00000137,CUST_000781,2024-02-02 16:39:49,Withdrawal,-334.41,41185.00363,Shopping,West Thomasbury,Left son involve record. Where adult good.,ATM,USD,Completed
TXN_00000138,CUST_004933,2025-06-14 15:40:16,Transfer,-72.82,35652.54255,ATM,Martinside,Challenge various enjoy almost.,Mobile App,USD,Completed
TXN_00000139,CUST_000242,2024-10-23 12:53:10,Transfer,-79.28,37127.05062,Grocery,Port Cassandraside,Safe spend step company throw.,Online,USD,Completed
TXN_00000140,CUST_002651,2023-11-16 16:42:52,Withdrawal,-1283.7,14771.78523,Other,South Lori,Hot series scene. Professional then inside power.,Online,USD,Pending
TXN_00000141,CUST_003030,2023-08-29 10:29:05,Transfer,-140.42,30855.89413,Healthcare,North Grace,Course culture attorney third full.,ATM,USD,Completed
TXN_00000142,CUST_001925,2024-04-08 23:53:23,Deposit,2573.99,1077.66526,Entertainment,New Melindabury,Expect body home do real space.,ATM,USD,Completed
TXN_00000143,CUST_002403,2025-04-15 11:15:09,Deposit,29.72,20020.00805,Other,New Jennifer,Yes knowledge physical bad meeting rich.,Branch,USD,Completed
TXN_00000144,CUST_001163,2024-07-06 02:53:51,Purchase,-78.54,37477.43192,Other,Lake Dawnshire,Recently water economic effort yard.,Online,USD,Completed
TXN_00000145,CUST_002472,2025-02-04 10:12:50,Deposit,1107.99,29446.56756,Transfer,North Jacquelineton,Subject sense senior.,Online,USD,Completed
TXN_00000146,CUST_000266,2024-05-30 13:55:51,Payment,-564.2,30808.58722,Gas,Dennisville,Center practice alone media tough animal final.,ATM,USD,Completed
TXN_00000147,CUST_003607,2025-08-06 02:39:19,Withdrawal,-384.89,28959.05477,Transfer,West Amanda,His affect table current such wind fast.,Online,USD,Completed
TXN_00000148,CUST_003037,2024-09-28 12:54:25,Payment,-80.13,27592.66082,ATM,West Robert,Somebody a senior page.,Mobile App,USD,Completed
TXN_00000149,CUST_004239,2024-08-29 16:58:29,Withdrawal,-351.14,38689.43027,Gas,Blackwellburgh,Word book perhaps modern painting fund.,ATM,USD,Pending
TXN_00000150,CUST_000113,2025-01-14 16:02:37,Withdrawal,-2309.9,24565.50544,Restaurant,East Wendymouth,Cost true language whether few.,Branch,USD,Completed
TXN_00000151,CUST_003243,2024-02-12 11:44:31,Purchase,-160.19,795.9832146,Transfer,Wagnermouth,Language hope cover.,Branch,USD,Completed
TXN_00000152,CUST_003290,2024-11-15 01:49:45,Payment,-258.12,22013.51203,Restaurant,Kathrynmouth,Power help project continue though from both.,Mobile App,USD,Completed
TXN_00000153,CUST_001786,2025-07-19 04:57:04,Withdrawal,-397.44,11993.505,Entertainment,East Reneechester,Head case until growth detail allow.,ATM,USD,Completed
TXN_00000154,CUST_003818,2024-10-24 16:59:45,Purchase,-232.22,1713.340185,Entertainment,West Nathanview,Score animal wall suffer break.,Online,USD,Completed
TXN_00000155,CUST_003839,2024-05-09 02:22:03,Transfer,-22.54,26871.28939,Restaurant,Lake Kyleside,Price leave attack magazine investment feeling.,Mobile App,USD,Completed
TXN_00000156,CUST_002229,2024-01-31 22:12:35,Purchase,-43.25,40678.80047,Transfer,Summersstad,Check blood soon activity eight eye.,ATM,USD,Completed
TXN_00000157,CUST_000241,2023-12-05 01:56:49,Transfer,-786.25,44261.83202,Entertainment,Kylestad,Course fly capital kitchen scientist.,Mobile App,USD,Completed
TXN_00000158,CUST_001737,2024-09-25 00:40:20,Purchase,-37.25,10126.05943,Shopping,Edwardberg,Modern analysis always difference plant.,Branch,USD,Completed
TXN_00000159,CUST_004264,2024-09-02 06:28:39,Withdrawal,-139.21,24104.0089,Other,Sabrinaview,Reveal experience among lawyer hand.,ATM,USD,Failed
TXN_00000160,CUST_002155,2025-03-27 11:10:00,Deposit,188.84,19447.83585,Other,Gomeztown,Near return far record quite fall.,Mobile App,USD,Completed
TXN_00000161,CUST_002641,2024-12-01 12:17:59,Withdrawal,-209.19,21128.63117,Grocery,Kylefurt,Authority guess inside condition still per.,Online,USD,Completed
TXN_00000162,CUST_001119,2024-09-15 19:05:36,Payment,-268.41,22401.40668,Shopping,Hendersonton,Any effect goal blue.,Online,USD,Completed
TXN_00000163,CUST_002688,2024-03-24 16:37:23,Payment,-272.49,25358.24324,ATM,Lake Kristen,Right light almost throw growth produce news.,Online,USD,Completed
TXN_00000164,CUST_003037,2024-04-28 04:33:12,Withdrawal,-135.67,24978.56407,Restaurant,Rodneyview,Better someone as allow financial.,ATM,USD,Completed
TXN_00000165,CUST_001957,2023-12-07 21:42:01,Transfer,-3871.28,32604.27239,Gas,North Lindsay,If movement laugh or.,ATM,USD,Completed
TXN_00000166,CUST_000554,2023-11-27 09:04:31,Purchase,-221.66,43566.16542,Healthcare,South Leefurt,Machine will officer local quite magazine same.,Online,USD,Completed
TXN_00000167,CUST_002395,2025-05-21 05:15:04,Transfer,-4627.46,1313.208078,Other,New Keithville,Professor edge cause huge.,Mobile App,USD,Completed
TXN_00000168,CUST_003493,2025-07-13 20:32:18,Transfer,-926.62,234.134365,Other,South Brianna,Interesting wide business hot job perhaps hard.,Branch,USD,Completed
TXN_00000169,CUST_002560,2023-10-10 15:28:57,Withdrawal,-377.41,6556.736895,Transfer,West Maria,Produce certain visit tell increase try senior.,Online,USD,Completed
TXN_00000170,CUST_000551,2025-03-02 10:53:46,Payment,-264.95,27322.65569,Shopping,Tammyview,Fast look president cover media.,Branch,USD,Completed
TXN_00000171,CUST_003141,2024-02-06 23:36:25,Deposit,1218.29,13151.34533,ATM,Port Leslie,City seem situation few.,Online,USD,Failed
TXN_00000172,CUST_004120,2024-10-22 17:04:05,Transfer,-70.94,17292.28203,Gas,South Aliciaberg,Notice let rest where.,Mobile App,USD,Completed
TXN_00000173,CUST_004007,2023-11-07 00:26:45,Transfer,-332.89,43520.23358,Shopping,New Mariaville,Beautiful military trip add music.,Mobile App,USD,Completed
TXN_00000174,CUST_002053,2025-02-09 20:30:33,Transfer,-51.26,14551.4129,Shopping,Campbellland,Show history then hot head program.,Branch,USD,Completed
